10000;	0,060;	4;	80;	0,299999999999999;	1947,7;	324;	93;	
10000;	0,060;	4;	80;	0,199999999999999;	1947,7;	324;	94;	
10000;	0,050;	4;	80;	2;	2022,0;	318;	90;	
10000;	0,050;	4;	80;	1,9;	2047,7;	319;	90;	
10000;	0,050;	4;	80;	1,8;	2073,2;	320;	90;	
10000;	0,050;	4;	80;	1,7;	2096,1;	320;	90;	
10000;	0,050;	4;	80;	1,6;	2119,6;	321;	90;	
10000;	0,050;	4;	80;	1,5;	2143,4;	321;	89;	
10000;	0,050;	4;	80;	1,4;	2169,3;	322;	89;	
10000;	0,050;	4;	80;	1,3;	2191,5;	323;	89;	
10000;	0,050;	4;	80;	1,2;	2216,1;	323;	89;	
10000;	0,050;	4;	80;	1,1;	2241,2;	324;	88;	
10000;	0,050;	4;	80;	0,999999999999999;	2241,2;	324;	89;	
10000;	0,050;	4;	80;	0,899999999999999;	2241,2;	324;	90;	
10000;	0,050;	4;	80;	0,799999999999999;	2241,2;	324;	90;	
10000;	0,050;	4;	80;	0,699999999999999;	2241,2;	324;	91;	
10000;	0,050;	4;	80;	0,599999999999999;	2241,2;	324;	92;	
10000;	0,050;	4;	80;	0,499999999999999;	2241,2;	324;	92;	
10000;	0,050;	4;	80;	0,399999999999999;	2241,2;	324;	93;	
10000;	0,050;	4;	80;	0,299999999999999;	2241,2;	324;	94;	
10000;	0,050;	4;	80;	0,199999999999999;	2241,2;	324;	95;	
10000;	0,040;	4;	80;	2;	2312,4;	319;	92;	
10000;	0,040;	4;	80;	1,9;	2331,3;	319;	91;	
10000;	0,040;	4;	80;	1,8;	2351,8;	320;	91;	
10000;	0,040;	4;	80;	1,7;	2372,2;	320;	91;	
10000;	0,040;	4;	80;	1,6;	2390,6;	321;	91;	
10000;	0,040;	4;	80;	1,5;	2410,8;	321;	91;	
10000;	0,040;	4;	80;	1,4;	2430,6;	322;	91;	
10000;	0,040;	4;	80;	1,3;	2450,5;	322;	91;	
10000;	0,040;	4;	80;	1,2;	2469,3;	322;	91;	
10000;	0,040;	4;	80;	1,1;	2487,2;	323;	91;	
10000;	0,040;	4;	80;	0,999999999999999;	2487,2;	323;	91;	
10000;	0,040;	4;	80;	0,899999999999999;	2487,2;	323;	92;	
10000;	0,040;	4;	80;	0,799999999999999;	2487,2;	323;	93;	
10000;	0,040;	4;	80;	0,699999999999999;	2487,2;	323;	93;	
10000;	0,040;	4;	80;	0,599999999999999;	2487,2;	323;	94;	
10000;	0,040;	4;	80;	0,499999999999999;	2487,2;	323;	94;	
10000;	0,040;	4;	80;	0,399999999999999;	2487,2;	323;	95;	
10000;	0,040;	4;	80;	0,299999999999999;	2487,2;	323;	95;	
10000;	0,040;	4;	80;	0,199999999999999;	2487,2;	323;	96;	
10000;	0,030;	4;	80;	2;	2543,9;	319;	94;	
10000;	0,030;	4;	80;	1,9;	2561,4;	320;	93;	
10000;	0,030;	4;	80;	1,8;	2577,1;	320;	93;	
10000;	0,030;	4;	80;	1,7;	2594,0;	320;	93;	
10000;	0,030;	4;	80;	1,6;	2608,1;	321;	93;	
10000;	0,030;	4;	80;	1,5;	2622,1;	321;	93;	
10000;	0,030;	4;	80;	1,4;	2636,1;	321;	93;	
10000;	0,030;	4;	80;	1,3;	2652,4;	322;	93;	
10000;	0,030;	4;	80;	1,2;	2669,3;	322;	93;	
10000;	0,030;	4;	80;	1,1;	2684,9;	322;	93;	
10000;	0,030;	4;	80;	0,999999999999999;	2684,9;	322;	94;	
10000;	0,030;	4;	80;	0,899999999999999;	2684,9;	322;	94;	
10000;	0,030;	4;	80;	0,799999999999999;	2684,9;	322;	94;	
10000;	0,030;	4;	80;	0,699999999999999;	2684,9;	322;	95;	
10000;	0,030;	4;	80;	0,599999999999999;	2684,9;	322;	95;	
10000;	0,030;	4;	80;	0,499999999999999;	2684,9;	322;	96;	
10000;	0,030;	4;	80;	0,399999999999999;	2684,9;	322;	96;	
10000;	0,030;	4;	80;	0,299999999999999;	2684,9;	322;	96;	
10000;	0,030;	4;	80;	0,199999999999999;	2684,9;	322;	97;	
10000;	0,020;	4;	80;	2;	2728,4;	320;	95;	
10000;	0,020;	4;	80;	1,9;	2739,2;	320;	95;	
10000;	0,020;	4;	80;	1,8;	2750,7;	320;	95;	
10000;	0,020;	4;	80;	1,7;	2759,7;	320;	96;	
10000;	0,020;	4;	80;	1,6;	2770,2;	321;	96;	
10000;	0,020;	4;	80;	1,5;	2781,7;	321;	96;	
10000;	0,020;	4;	80;	1,4;	2794,5;	321;	95;	
10000;	0,020;	4;	80;	1,3;	2805,0;	321;	95;	
10000;	0,020;	4;	80;	1,2;	2816,0;	322;	95;	
10000;	0,020;	4;	80;	1,1;	2827,0;	322;	95;	
10000;	0,020;	4;	80;	0,999999999999999;	2827,0;	322;	96;	
10000;	0,020;	4;	80;	0,899999999999999;	2827,0;	322;	96;	
10000;	0,020;	4;	80;	0,799999999999999;	2827,0;	322;	96;	
10000;	0,020;	4;	80;	0,699999999999999;	2827,0;	322;	97;	
10000;	0,020;	4;	80;	0,599999999999999;	2827,0;	322;	97;	
10000;	0,020;	4;	80;	0,499999999999999;	2827,0;	322;	97;	
10000;	0,020;	4;	80;	0,399999999999999;	2827,0;	322;	98;	
10000;	0,020;	4;	80;	0,299999999999999;	2827,0;	322;	98;	
10000;	0,020;	4;	80;	0,199999999999999;	2827,0;	322;	98;	
10000;	0,010;	4;	80;	2;	2849,6;	321;	97;	
10000;	0,010;	4;	80;	1,9;	2855,3;	321;	97;	
10000;	0,010;	4;	80;	1,8;	2859,5;	321;	98;	
10000;	0,010;	4;	80;	1,7;	2864,5;	321;	98;	
10000;	0,010;	4;	80;	1,6;	2870,8;	321;	98;	
10000;	0,010;	4;	80;	1,5;	2876,1;	321;	98;	
10000;	0,010;	4;	80;	1,4;	2882,0;	321;	98;	
10000;	0,010;	4;	80;	1,3;	2888,3;	321;	98;	
10000;	0,010;	4;	80;	1,2;	2892,6;	321;	98;	
10000;	0,010;	4;	80;	1,1;	2898,0;	322;	98;	
10000;	0,010;	4;	80;	0,999999999999999;	2898,0;	322;	98;	
10000;	0,010;	4;	80;	0,899999999999999;	2898,0;	322;	98;	
10000;	0,010;	4;	80;	0,799999999999999;	2898,0;	322;	99;	
10000;	0,010;	4;	80;	0,699999999999999;	2898,0;	322;	99;	
10000;	0,010;	4;	80;	0,599999999999999;	2898,0;	322;	99;	
10000;	0,010;	4;	80;	0,499999999999999;	2898,0;	322;	99;	
10000;	0,010;	4;	80;	0,399999999999999;	2898,0;	322;	99;	
10000;	0,010;	4;	80;	0,299999999999999;	2898,0;	322;	99;	
10000;	0,010;	4;	80;	0,199999999999999;	2898,0;	322;	100;	
